rank,batch,fr_infinitive,es_infinitive,link_order,legacy_ids,source_es_text,en_infinitive,ru_infinitive,cefr_level
1,1,être,ser,1,1,"ser, estar",be,быть,A1
1,1,être,estar,2,1,"ser, estar",be,быть,A1
2,1,avoir,tener,1,2,"tener, haber",have,иметь,A1
2,1,avoir,haber,2,2,"tener, haber",have,иметь,A1
3,1,faire,hacer,1,3,hacer,do,делать,A1
4,1,dire,decir,1,4,decir,say,говорить,A1
5,1,voir,ver,1,5,ver,see,видеть,A1
6,1,prendre,tomar,1,6,"tomar, coger",take,брать,A1
6,1,prendre,coger,2,6,"tomar, coger",take,брать,A1
7,1,pouvoir,poder,1,7,poder,be able to,мочь,A1
8,1,parler,hablar,1,8,hablar,speak,разговаривать,A1
9,1,aller,ir,1,9,ir,go,ходить,A1
10,1,savoir,saber,1,10,saber,know,знать,A1
11,1,donner,dar,1,11,dar,give,давать,A1
12,1,passer,pasar,1,12,pasar,pass,проходить,A1
13,1,mettre,poner,1,13,"poner, meter",put,помещать,A1
13,1,mettre,meter,2,13,"poner, meter",put,помещать,A1
14,1,partir,partir,1,14,partir,leave,уходить,A1
15,1,trouver,encontrar,1,15,encontrar,find,находить,A1
16,1,s'en aller,irse,1,16,irse,go away,удаляться,A1
17,1,rire,reír,1,17,reír,laugh,смеяться,A1
18,1,vivre,vivir,1,18,vivir,live,жить,A1
19,1,laisser,dejar,1,19,dejar,let,позволять,A2
20,1,rendre,devolver,1,20,"devolver, rendir",return,возвращать,A2
20,1,rendre,rendir,2,20,"devolver, rendir",return,возвращать,A2
21,1,sourire,sonreír,1,21,sonreír,smile,улыбаться,A1
22,1,venir,venir,1,22,venir,come,приходить,A1
23,1,comprendre,comprender,1,23,"comprender, entender",understand,понимать,A1
23,1,comprendre,entender,2,23,"comprender, entender",understand,понимать,A1
24,1,penser,pensar,1,24,pensar,think,думать,A1
25,1,chercher,buscar,1,25,buscar,look for,искать,A1
26,1,croire,creer,1,26,creer,believe,верить,A1
27,1,entendre,oír,1,27,oír,hear,слышать,A1
28,1,tenir,sostener,1,28,"sostener, tener",hold,держать,A2
28,1,tenir,tener,2,28,"sostener, tener",hold,держать,A2
29,1,demander,pedir,1,29,"pedir, preguntar",ask,спрашивать,A1
29,1,demander,preguntar,2,29,"pedir, preguntar",ask,спрашивать,A1
30,1,se souvenir,recordar,1,"30,33",recordar | acordarse,remember,помнить,A2
30,1,se souvenir,acordarse,2,"30,33",recordar | acordarse,remember,помнить,A2
31,1,attendre,esperar,1,31,esperar,wait,ждать,A1
32,1,sortir,salir,1,32,salir,go out,выходить,A1
33,1,regarder,mirar,1,34,mirar,watch,смотреть,A1
34,1,jouer,jugar,1,35,jugar,play,играть,A1
35,1,écrire,escribir,1,36,escribir,write,писать,A1
36,1,connaître,conocer,1,37,"conocer, saber",be acquainted with,знать,A1
36,1,connaître,saber,2,37,"conocer, saber",be acquainted with,знать,A1
37,1,devenir,llegar a ser,1,38,llegar a ser,become,становиться,A2
38,1,mourir,morir,1,39,"morir, fallecer",die,умирать,A2
38,1,mourir,fallecer,2,39,"morir, fallecer",die,умирать,A2
39,1,rester,permanecer,1,"40,46",permanecer | quedarse,stay,оставаться,A1
39,1,rester,quedarse,2,"40,46",permanecer | quedarse,stay,оставаться,A1
40,1,retrouver,reencontrar,1,41,"reencontrar, encontrar",find again,находить снова,A2
40,1,retrouver,encontrar,2,41,"reencontrar, encontrar",find again,находить снова,A2
41,1,se convertir,convertirse,1,42,convertirse,convert,превращаться,B1
42,1,entrer,entrar,1,43,entrar,enter,входить,A1
43,1,manger,comer,1,44,comer,eat,кушать,A1
44,1,tomber,caer,1,45,caer,fall,падать,A1
45,1,tirer,tirar,1,47,"tirar, disparar",pull,вытягивать,A2
45,1,tirer,disparar,2,47,"tirar, disparar",pull,вытягивать,A2
46,1,lire,leer,1,48,leer,read,читать,A1
47,1,suivre,seguir,1,49,seguir,follow,следовать,A2
48,1,répondre,responder,1,50,"responder, contestar",answer,отвечать,A1
48,1,répondre,contestar,2,50,"responder, contestar",answer,отвечать,A1
49,1,obtenir,obtener,1,51,"obtener, conseguir",obtain,получать,B1
49,1,obtenir,conseguir,2,51,"obtener, conseguir",obtain,получать,B1
50,1,perdre,perder,1,52,perder,lose,терять,A1
51,2,expliquer,explicar,1,53,explicar,explain,объяснять,A2
52,2,assurer,asegurar,1,54,asegurar,ensure,обеспечивать,B1
53,2,servir,servir,1,55,servir,serve,служить,A2
54,2,porter,llevar,1,56,llevar,carry,носить,A1
55,2,montrer,mostrar,1,57,"mostrar, enseñar",show,показывать,A1
55,2,montrer,enseñar,2,57,"mostrar, enseñar",show,показывать,A1
56,2,éviter,evitar,1,58,evitar,avoid,избегать,A2
57,2,arriver,llegar,1,59,"llegar, ocurrir",arrive,прибывать,A1
57,2,arriver,ocurrir,2,59,"llegar, ocurrir",arrive,прибывать,A1
58,2,vouloir,querer,1,60,querer,want,хотеть,A1
59,2,reconnaître,reconocer,1,61,reconocer,recognize,узнавать,A2
60,2,monter,subir,1,62,"subir, montar",climb,подниматься,A1
60,2,monter,montar,2,62,"subir, montar",climb,подниматься,A1
61,2,boire,beber,1,63,"beber, tomar",drink,пить,A1
61,2,boire,tomar,2,63,"beber, tomar",drink,пить,A1
62,2,oublier,olvidar,1,64,olvidar,forget,забывать,A1
63,2,poser,poner,1,65,"poner, colocar",place,ставить,A2
63,2,poser,colocar,2,65,"poner, colocar",place,ставить,A2
64,2,aimer,amar,1,66,"amar, gustar",like,любить,A1
64,2,aimer,gustar,2,66,"amar, gustar",like,любить,A1
65,2,arrêter,detener,1,67,"detener, parar",stop,останавливать,A1
65,2,arrêter,parar,2,67,"detener, parar",stop,останавливать,A1
66,2,sentir,sentir,1,68,"sentir, oler",feel,чувствовать,A1
66,2,sentir,oler,2,68,"sentir, oler",feel,чувствовать,A1
67,2,atteindre,alcanzar,1,69,"alcanzar, lograr",reach,достигать,B1
67,2,atteindre,lograr,2,69,"alcanzar, lograr",reach,достигать,B1
68,2,revenir,volver,1,70,"volver, regresar",come back,возвращаться,A2
68,2,revenir,regresar,2,70,"volver, regresar",come back,возвращаться,A2
69,2,devoir,deber,1,71,"deber, tener que",have to,нуждаться,A1
69,2,devoir,tener que,2,71,"deber, tener que",have to,нуждаться,A1
70,2,changer,cambiar,1,72,cambiar,change,менять,A1
71,2,dormir,dormir,1,73,dormir,sleep,спать,A1
72,2,permettre,permitir,1,74,permitir,allow,разрешать,B1
73,2,quitter,dejar,1,75,"dejar, abandonar",quit,покидать,A2
73,2,quitter,abandonar,2,75,"dejar, abandonar",quit,покидать,A2
74,2,reprendre,retomar,1,76,"retomar, reanudar",resume,возобновлять,B1
74,2,reprendre,reanudar,2,76,"retomar, reanudar",resume,возобновлять,B1
75,2,appeler,llamar,1,77,llamar,call,называть,A1
76,2,dîner,cenar,1,78,cenar,dine,ужинать,A1
77,2,apprendre,aprender,1,79,"aprender, enseñar",learn,учиться,A1
77,2,apprendre,enseñar,2,79,"aprender, enseñar",learn,учиться,A1
78,2,empêcher,impedir,1,80,impedir,prevent,мешать,A2
79,2,établir,establecer,1,81,establecer,establish,устанавливать,B1
80,2,travailler,trabajar,1,82,trabajar,work,работать,A1
81,2,garder,guardar,1,83,"guardar, mantener",keep,хранить,A1
81,2,garder,mantener,2,83,"guardar, mantener",keep,хранить,A1
82,2,marcher,caminar,1,84,"caminar, andar",walk,гулять,A1
82,2,marcher,andar,2,84,"caminar, andar",walk,гулять,A1
83,2,imaginer,imaginar,1,85,imaginar,imagine,представлять,A2
84,2,considérer,considerar,1,86,considerar,consider,рассматривать,B1
85,2,tendre,tender,1,87,"tender, estirar",stretch,растягивать,B1
85,2,tendre,estirar,2,87,"tender, estirar",stretch,растягивать,B1
86,2,lever,levantar,1,88,"levantar, alzar",raise,поднимать,A2
86,2,lever,alzar,2,88,"levantar, alzar",raise,поднимать,A2
